ID,gl_s_dga_ga_tot_n_none_c_c,gl_s_dga_ga_tot_s_none_c_c,gl_s_dga_gta_tot_n_none_c_c,gl_s_dga_gta_tot_s_none_c_c,gl_s_dga_rgla_tot_n_none_c_c,gl_s_dga_rgla_tot_s_none_c_c,gl_s_dga_gwe_tot_n_none_c_c,gl_s_dga_gwe_tot_s_none_c_c,gl_s_dga_gtwe_tot_n_none_c_c,gl_s_dga_gtwe_tot_s_none_c_c,gl_s_dga_rglwe_tot_n_none_c_c,gl_s_dga_rglwe_tot_s_none_c_c,gl_s_dga_galt_mean_n_none_c_c,gl_s_dga_galt_mean_s_none_c_c,gl_s_dga_gtalt_mean_n_none_c_c,gl_s_dga_gtalt_mean_s_none_c_c,gl_s_dga_rglalt_mean_n_none_c_c,gl_s_dga_rglalt_mean_s_none_c_c
8820001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8821001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8821002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8821003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8821006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8822002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8910001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9101001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9101002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9102001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9104001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9104002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9106001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9107001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9113001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9116001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
